Date,price_open,price_high,price_low,price_close,price_volume,sentiment_positive,sentiment_negative,social_dominance,fear_greed,active_addresses,whale_stablecoin_pct,dev_activity,transaction_volume,network_growth
2020-10-16 00:00:00+00:00,11505.13,11541.15,11200.0,11319.32,48797.749502,718.732524693012,477.482711791992,27.636241531648,52,1010645,31.461941415363,716,3618858.532641975,3341976
2020-10-17 00:00:00+00:00,11319.24,11402.42,11255.0,11360.2,22368.915241,607.369864463806,326.259855985641,23.639288104402,56,1010645,31.461941415363,716,3618858.532641975,3341976
2020-10-18 00:00:00+00:00,11360.31,11505.0,11346.22,11503.14,23284.041191,608.402140915394,293.06315267086,26.344170847289,55,1010645,31.461941415363,716,3618858.532641975,3341976
2020-10-19 00:00:00+00:00,11503.14,11823.99,11407.96,11751.47,47414.534692,1064.49444258213,475.660548388958,33.706995536613,55,1010645,31.461941415363,716,3618858.532641975,3341976
2020-10-20 00:00:00+00:00,11751.46,12038.38,11677.59,11909.99,62134.750663,1341.54314160347,664.968417167664,37.188189383704,56,1010645,31.461941415363,716,3618858.532641975,3341976
2020-10-21 00:00:00+00:00,11910.0,13217.68,11886.95,12780.96,114584.456767,1729.883591771126,1179.457421422005,44.903758296745,61,1010645,31.461941415363,716,3618858.532641975,3341976
2020-10-22 00:00:00+00:00,12780.75,13185.0,12678.08,12968.52,70038.824144,1564.186593294144,815.360641121864,40.696321831167,73,818954,30.633771851754,681,4164235.6505135456,3223176
2020-10-23 00:00:00+00:00,12968.84,13027.69,12720.08,12923.07,50386.999841,944.036206066608,507.508159220219,34.376561426414,74,818954,30.633771851754,681,4164235.6505135456,3223176
2020-10-24 00:00:00+00:00,12923.06,13166.73,12870.0,13111.73,35952.20907,815.179887771606,488.524394631386,34.331660665056,73,818954,30.633771851754,681,4164235.6505135456,3223176
2020-10-25 00:00:00+00:00,13111.73,13350.0,12888.0,13028.83,38481.579504,906.203063607216,504.130342066288,34.939463317745,76,818954,30.633771851754,681,4164235.6505135456,3223176
2020-10-26 00:00:00+00:00,13029.64,13238.81,12765.0,13052.19,60951.672986,955.790697574615,543.115857541561,37.091299095028,75,818954,30.633771851754,681,4164235.6505135456,3223176
2020-10-27 00:00:00+00:00,13052.15,13789.29,13019.87,13636.17,80811.01945,1437.99689912796,781.849073588848,42.690760720632,61,818954,30.633771851754,681,4164235.6505135456,3223176
