Date,price_open,price_high,price_low,price_close,price_volume,sentiment_positive,sentiment_negative,social_dominance,fear_greed,active_addresses,whale_stablecoin_pct,dev_activity,transaction_volume,network_growth
2020-10-16 00:00:00+00:00,377.63,379.83,361.18,365.5,654029.36404,3244.570014774799,1304.587296128273,11.635337510022,52,432795,31.461941415363,2309,33580490.50615034,740326
2020-10-17 00:00:00+00:00,365.5,370.46,363.36,368.32,285578.24537,3244.570014774799,1304.587296128273,12.554487264361,56,432795,31.461941415363,2309,33580490.50615034,740326
2020-10-18 00:00:00+00:00,368.31,378.64,367.1,378.11,323468.47095,3244.570014774799,1304.587296128273,11.446531283748,55,432795,31.461941415363,2309,33580490.50615034,740326
2020-10-19 00:00:00+00:00,378.12,384.32,372.5,379.3,577252.90265,3244.570014774799,1304.587296128273,11.028992019225,55,432795,31.461941415363,2309,33580490.50615034,740326
2020-10-20 00:00:00+00:00,379.3,380.73,365.27,368.52,617309.81677,3244.570014774799,1304.587296128273,11.536133314326,56,432795,31.461941415363,2309,33580490.50615034,740326
2020-10-21 00:00:00+00:00,368.53,401.49,367.74,390.38,1221663.63784,3244.570014774799,1304.587296128273,11.267675990032,61,432795,31.461941415363,2309,33580490.50615034,740326
2020-10-22 00:00:00+00:00,390.31,420.73,390.21,413.98,1095897.20667,3705.421332895756,1109.354830384254,13.178260962558,73,402466,30.633771851754,1689,40550938.37227652,711337
2020-10-23 00:00:00+00:00,413.94,419.33,401.3,409.11,727832.3224,3705.421332895756,1109.354830384254,12.385619400613,74,402466,30.633771851754,1689,40550938.37227652,711337
2020-10-24 00:00:00+00:00,409.19,416.66,407.0,412.14,419236.87106,3705.421332895756,1109.354830384254,13.537916709716,73,402466,30.633771851754,1689,40550938.37227652,711337
2020-10-25 00:00:00+00:00,412.14,417.4,402.5,405.86,415586.9761,3705.421332895756,1109.354830384254,10.641378967379,76,402466,30.633771851754,1689,40550938.37227652,711337
2020-10-26 00:00:00+00:00,405.85,411.11,382.3,392.52,895142.67266,3705.421332895756,1109.354830384254,11.141873132878,75,402466,30.633771851754,1689,40550938.37227652,711337
2020-10-27 00:00:00+00:00,392.52,410.25,389.9,403.45,754261.74114,3705.421332895756,1109.354830384254,10.252664629133,61,402466,30.633771851754,1689,40550938.37227652,711337
2020-10-28 00:00:00+00:00,403.41,409.2,380.52,388.23,855275.46882,3705.421332895756,1109.354830384254,10.57465690063,70,402466,30.633771851754,1689,40550938.37227652,711337
2020-10-29 00:00:00+00:00,388.22,393.72,380.52,387.13,573096.01416,2925.544683992863,1019.819247245789,10.205360875227,67,459588,30.997300365587,2771,40241792.18842968,725658
2020-10-30 00:00:00+00:00,387.12,391.97,373.29,382.49,771750.74746,2925.544683992863,1019.819247245789,10.550941286828,74,459588,30.997300365587,2771,40241792.18842968,725658
2020-10-31 00:00:00+00:00,382.59,394.88,379.9,386.46,467453.8105,2925.544683992863,1019.819247245789,9.941800744988,73,459588,30.997300365587,2771,40241792.18842968,725658
2020-11-01 00:00:00+00:00,386.44,398.29,384.61,396.67,438952.95565,2925.544683992863,1019.819247245789,12.215348338578,72,459588,30.997300365587,2771,40241792.18842968,725658
2020-11-02 00:00:00+00:00,396.68,404.5,377.92,383.02,779968.57957,2925.544683992863,1019.819247245789,11.638788992282,71,459588,30.997300365587,2771,40241792.18842968,725658
2020-11-03 00:00:00+00:00,383.01,390.0,370.23,387.88,752954.37114,2925.544683992863,1019.819247245789,10.028805074477,71,459588,30.997300365587,2771,40241792.18842968,725658
2020-11-04 00:00:00+00:00,387.88,408.39,376.47,402.49,1157064.35076,2925.544683992863,1019.819247245789,15.693428174232,74,459588,30.997300365587,2771,40241792.18842968,725658
2020-11-05 00:00:00+00:00,402.5,420.4,396.14,416.69,1475139.77342,4676.92008715868,1605.344220221043,13.105285003558,72,421156,31.369560077858,2672,45406468.434338,738557
2020-11-06 00:00:00+00:00,416.73,458.27,414.76,455.91,1682440.96026,4676.92008715868,1605.344220221043,14.195868798001,90,421156,31.369560077858,2672,45406468.434338,738557
2020-11-07 00:00:00+00:00,455.91,468.28,424.14,435.21,1653416.5961,4676.92008715868,1605.344220221043,12.594133918721,88,421156,31.369560077858,2672,45406468.434338,738557
2020-11-08 00:00:00+00:00,435.2,460.1,431.99,454.3,840908.46841,4676.92008715868,1605.344220221043,12.426132291335,82,421156,31.369560077858,2672,45406468.434338,738557
2020-11-09 00:00:00+00:00,454.29,459.1,433.09,444.32,1099213.24641,4676.92008715868,1605.344220221043,12.559061004342,90,421156,31.369560077858,2672,45406468.434338,738557
2020-11-10 00:00:00+00:00,444.32,455.0,438.7,450.34,866872.41108,4676.92008715868,1605.344220221043,13.514943569068,90,421156,31.369560077858,2672,45406468.434338,738557
2020-11-11 00:00:00+00:00,450.34,476.25,449.28,463.09,1205782.84262,4676.92008715868,1605.344220221043,15.015984793666,86,421156,31.369560077858,2672,45406468.434338,738557
2020-11-12 00:00:00+00:00,463.09,470.0,451.2,462.39,990776.62912,4221.32166737318,1462.064987361431,13.1587426757,87,410081,31.165973904942,2487,46250976.46405652,710674
2020-11-13 00:00:00+00:00,462.48,478.01,457.12,476.43,976665.09752,4221.32166737318,1462.064987361431,12.580215089678,89,410081,31.165973904942,2487,46250976.46405652,710674
2020-11-14 00:00:00+00:00,476.42,477.47,452.0,460.89,735252.7854,4221.32166737318,1462.064987361431,10.572872036732,90,410081,31.165973904942,2487,46250976.46405652,710674
2020-11-15 00:00:00+00:00,460.9,462.89,440.19,448.08,665217.56671,4221.32166737318,1462.064987361431,12.013429351325,86,410081,31.165973904942,2487,46250976.46405652,710674
