Date,Positive sentiment (Total) (SOL),Negative sentiment (Total) (SOL),Weighted sentiment (Total) (SOL),Social Dominance (SOL),Active Addresses 24h (SOL),Percent of Stablecoin Total Supply held by Whales with more than 5 million USD,Development Activity (SOL),Transaction Volume (SOL),Network Growth (SOL)
2020-04-02T00:00:00.000Z,,0,0,0.481414395718,,24.764685589019,1225,,
2020-04-08T00:00:00.000Z,5.772955417633,,,0.481414395718,,24.764685589019,1225,,
2020-04-09T00:00:00.000Z,68.284412324429,,,0.481414395718,,24.764685589019,1225,,
2020-04-10T00:00:00.000Z,620.543845593929,,,0.481414395718,,24.764685589019,1225,,
2020-04-11T00:00:00.000Z,21.652715444565,,,0.481414395718,,24.764685589019,1225,,
2020-04-12T00:00:00.000Z,6.587893307209,,,0.481414395718,,24.764685589019,1225,,
2020-04-13T00:00:00.000Z,21.409780025482,,,0.481414395718,,24.764685589019,1225,,
2020-04-14T00:00:00.000Z,13.618511378765,,,0.481414395718,,24.764685589019,1225,,
2020-04-15T00:00:00.000Z,7.984668791294,,,0.481414395718,,24.764685589019,1225,,
2020-04-16T00:00:00.000Z,9.736330032349,11.596382439137,0,0.222766298748,,24.924651843651,1035,,
2020-04-17T00:00:00.000Z,0.842987895012,11.596382439137,,0.222766298748,,24.924651843651,1035,,
2020-04-18T00:00:00.000Z,4.64954161644,11.596382439137,,0.222766298748,,24.924651843651,1035,,
2020-04-19T00:00:00.000Z,6.29975014925,11.596382439137,,0.222766298748,,24.924651843651,1035,,
2020-04-20T00:00:00.000Z,3.238212943077,11.596382439137,,0.222766298748,,24.924651843651,1035,,
2020-04-21T00:00:00.000Z,3.952056348324,11.596382439137,,0.222766298748,,24.924651843651,1035,,
2020-04-22T00:00:00.000Z,7.666800200939,11.596382439137,,0.222766298748,,24.924651843651,1035,,
2020-04-23T00:00:00.000Z,3.259259879589,16.713694155216,0,0.136126251567,,25.379035981051,913,,
2020-04-24T00:00:00.000Z,2.336357116699,16.713694155216,,0.136126251567,,25.379035981051,913,,
2020-04-25T00:00:00.000Z,3.438728094101,16.713694155216,,0.136126251567,,25.379035981051,913,,
2020-04-26T00:00:00.000Z,0.835536897182,16.713694155216,,0.136126251567,,25.379035981051,913,,
2020-04-27T00:00:00.000Z,0.805785655975,16.713694155216,,0.136126251567,,25.379035981051,913,,
2020-04-28T00:00:00.000Z,4.983402729034,16.713694155216,,0.136126251567,,25.379035981051,913,,
2020-04-29T00:00:00.000Z,5.834716081619,16.713694155216,,0.136126251567,,25.379035981051,913,,
2020-04-30T00:00:00.000Z,0.9719145298,7.060322999954,0,0.076739385301,,24.28644865724,882,,
2020-05-01T00:00:00.000Z,7.362714290619,7.060322999954,,0.076739385301,,24.28644865724,882,,
2020-05-02T00:00:00.000Z,0.857923090458,7.060322999954,,0.076739385301,,24.28644865724,882,,
2020-05-03T00:00:00.000Z,3.475187540054,7.060322999954,,0.076739385301,,24.28644865724,882,,
2020-05-04T00:00:00.000Z,3.799205183983,7.060322999954,,0.076739385301,,24.28644865724,882,,
2020-05-05T00:00:00.000Z,4.330063939095,7.060322999954,,0.076739385301,,24.28644865724,882,,
2020-05-06T00:00:00.000Z,5.695267915726,7.060322999954,,0.076739385301,,24.28644865724,882,,
2020-05-07T00:00:00.000Z,0.743819713593,5.649819552898,0,0.046245965785,,25.551769244285,827,,
2020-05-08T00:00:00.000Z,3.830471038818,5.649819552898,,0.046245965785,,25.551769244285,827,,
2020-05-09T00:00:00.000Z,2.540104448795,5.649819552898,,0.046245965785,,25.551769244285,827,,
2020-05-10T00:00:00.000Z,1.575553536415,5.649819552898,,0.046245965785,,25.551769244285,827,,
2020-05-11T00:00:00.000Z,0,5.649819552898,,0.046245965785,,25.551769244285,827,,
2020-05-12T00:00:00.000Z,0,5.649819552898,,0.046245965785,,25.551769244285,827,,
2020-05-13T00:00:00.000Z,2.392414093018,5.649819552898,,0.046245965785,,25.551769244285,827,,
2020-05-14T00:00:00.000Z,2.980606079102,8.956275939941,0,0.066965728503,,30.764636253547,849,,
2020-05-15T00:00:00.000Z,0.865861177444,8.956275939941,,0.066965728503,,30.764636253547,849,,
2020-05-16T00:00:00.000Z,2.624815881252,8.956275939941,,0.066965728503,,30.764636253547,849,,
2020-05-17T00:00:00.000Z,5.555217027664,8.956275939941,,0.066965728503,,30.764636253547,849,,
2020-05-18T00:00:00.000Z,3.023661136627,8.956275939941,,0.066965728503,,30.764636253547,849,,
2020-05-19T00:00:00.000Z,0,8.956275939941,,0.066965728503,,30.764636253547,849,,
2020-05-20T00:00:00.000Z,0,8.956275939941,,0.066965728503,,30.764636253547,849,,
2020-05-21T00:00:00.000Z,0,15.293229043484,0,0.133946333987,,31.335771743595,997,,
2020-05-22T00:00:00.000Z,12.45469725132,15.293229043484,,0.133946333987,,31.335771743595,997,,
2020-05-23T00:00:00.000Z,4.741452753544,15.293229043484,,0.133946333987,,31.335771743595,997,,
2020-05-24T00:00:00.000Z,1.758223593235,15.293229043484,,0.133946333987,,31.335771743595,997,,
2020-05-25T00:00:00.000Z,2.399333953857,15.293229043484,,0.133946333987,,31.335771743595,997,,
2020-05-26T00:00:00.000Z,3.454423904419,15.293229043484,,0.133946333987,,31.335771743595,997,,
2020-05-27T00:00:00.000Z,1.661013841629,15.293229043484,,0.133946333987,,31.335771743595,997,,
2020-05-28T00:00:00.000Z,3.181068480015,9.51545804739,0,0.070299723788,,31.628615559265,778,,
2020-05-29T00:00:00.000Z,0,9.51545804739,,0.070299723788,,31.628615559265,778,,
2020-05-30T00:00:00.000Z,1.467586278915,9.51545804739,,0.070299723788,,31.628615559265,778,,
2020-05-31T00:00:00.000Z,4.17572003603,9.51545804739,,0.070299723788,,31.628615559265,778,,
2020-06-01T00:00:00.000Z,0,9.51545804739,,0.070299723788,,31.628615559265,778,,
2020-06-02T00:00:00.000Z,0,9.51545804739,,0.070299723788,,31.628615559265,778,,
2020-06-03T00:00:00.000Z,4.803824007511,9.51545804739,,0.070299723788,,31.628615559265,778,,
2020-06-04T00:00:00.000Z,1.591347932816,6.007608234882,0,0.069230130033,,31.848452070573,660,,
2020-06-05T00:00:00.000Z,2.650856137276,6.007608234882,,0.069230130033,,31.848452070573,660,,
2020-06-06T00:00:00.000Z,1.625876486301,6.007608234882,,0.069230130033,,31.848452070573,660,,
2020-06-07T00:00:00.000Z,0.712707877159,6.007608234882,,0.069230130033,,31.848452070573,660,,
2020-06-08T00:00:00.000Z,0.76599752903,6.007608234882,,0.069230130033,,31.848452070573,660,,
2020-06-09T00:00:00.000Z,1.661928236485,6.007608234882,,0.069230130033,,31.848452070573,660,,
2020-06-10T00:00:00.000Z,0.829082071781,6.007608234882,,0.069230130033,,31.848452070573,660,,
2020-06-11T00:00:00.000Z,2.576509952545,2.38437628746,0,0.044502259282,,33.00810182974,1056,,
2020-06-12T00:00:00.000Z,0,2.38437628746,,0.044502259282,,33.00810182974,1056,,
2020-06-13T00:00:00.000Z,2.448152065277,2.38437628746,,0.044502259282,,33.00810182974,1056,,
2020-06-14T00:00:00.000Z,1.553985476494,2.38437628746,,0.044502259282,,33.00810182974,1056,,
2020-06-15T00:00:00.000Z,0,2.38437628746,,0.044502259282,,33.00810182974,1056,,
2020-06-16T00:00:00.000Z,1.509797155857,2.38437628746,,0.044502259282,,33.00810182974,1056,,
2020-06-17T00:00:00.000Z,1.587961792946,2.38437628746,,0.044502259282,,33.00810182974,1056,,
