Date,price_open,price_high,price_low,price_close,price_volume,sentiment_positive,sentiment_negative,social_dominance,fear_greed,active_addresses,whale_stablecoin_pct,dev_activity,transaction_volume,network_growth
2020-10-16 00:00:00+00:00,2.2648,2.269,2.1071,2.1398,1546650.13,14.104476988316,36.527546465397,0.294175616,52,154.0,31.461941415363,1693,53126226.3409664,957.0
2020-10-17 00:00:00+00:00,2.1374,2.2462,2.1107,2.2053,482249.55,11.780061542988,36.527546465397,0.294175616,56,154.0,31.461941415363,1693,53126226.3409664,957.0
2020-10-18 00:00:00+00:00,2.2031,2.2595,2.1763,2.215,478921.26,6.713201999664,36.527546465397,0.294175616,55,154.0,31.461941415363,1693,53126226.3409664,957.0
2020-10-19 00:00:00+00:00,2.2137,2.2148,2.05,2.0592,909217.19,19.888024568558,36.527546465397,0.294175616,55,154.0,31.461941415363,1693,53126226.3409664,957.0
2020-10-20 00:00:00+00:00,2.0552,2.108,1.8401,1.885,1933167.04,13.666035294533,36.527546465397,0.294175616,56,154.0,31.461941415363,1693,53126226.3409664,957.0
2020-10-21 00:00:00+00:00,1.8873,2.11,1.8415,1.8887,3222724.75,22.553060412407,36.527546465397,0.294175616,61,154.0,31.461941415363,1693,53126226.3409664,957.0
2020-10-22 00:00:00+00:00,1.8868,2.09,1.8481,1.9582,1624778.09,24.37528026104,38.781415224075,0.47889432035,73,301.0,30.633771851754,1622,83145687.23698422,738.0
2020-10-23 00:00:00+00:00,1.9566,1.9902,1.85,1.959,1559992.35,19.829933941364,38.781415224075,0.47889432035,74,301.0,30.633771851754,1622,83145687.23698422,738.0
2020-10-24 00:00:00+00:00,1.9652,1.973,1.88,1.9142,748093.83,13.151344537735,38.781415224075,0.47889432035,73,301.0,30.633771851754,1622,83145687.23698422,738.0
2020-10-25 00:00:00+00:00,1.9175,1.9244,1.76,1.7926,1365865.99,9.634900033474,38.781415224075,0.47889432035,76,301.0,30.633771851754,1622,83145687.23698422,738.0
2020-10-26 00:00:00+00:00,1.7925,1.8685,1.6121,1.6799,2021871.84,20.420407176018,38.781415224075,0.47889432035,75,301.0,30.633771851754,1622,83145687.23698422,738.0
2020-10-27 00:00:00+00:00,1.6771,1.75,1.5906,1.711,2591150.26,27.350487351418,38.781415224075,0.47889432035,61,301.0,30.633771851754,1622,83145687.23698422,738.0
2020-10-28 00:00:00+00:00,1.7084,1.7255,1.4508,1.518,3354618.28,23.432162046432,38.781415224075,0.47889432035,70,301.0,30.633771851754,1622,83145687.23698422,738.0
2020-10-29 00:00:00+00:00,1.5166,1.5754,1.4148,1.4327,1233628.05,29.233335256577,64.676091492176,0.542811375966,67,1676.0,30.997300365587,1609,63149728.02801402,2213.0
