Date,Social Dominance (ETH),Positive sentiment (Total) (ETH),Negative sentiment (Total) (ETH),Weighted sentiment (Total) (ETH),Development Activity (ETH),MVRV Ratio (1d) (ETH),NVT Ratio (with Transaction Volume) (ETH),Active Addresses 24h (ETH),Supply on Exchanges (ETH),Whale Transaction Count (>100k USD) (ETH),Percent of Stablecoin Total Supply held by Whales with more than 5 million USD,Transaction Volume (ETH),Network Growth (ETH)
2020-04-02T00:00:00.000Z,,91.426998436451,41.039983570576,0,1698,0.015101011950999998,49.41150459073,350916,22653150.103195615,127,24.764685589019,544114.6542201168,67368
2020-04-08T00:00:00.000Z,6.164833005697,91.426998436451,41.039983570576,,1698,0.015101011950999998,49.41150459073,350916,22653150.103195615,127,24.764685589019,544114.6542201168,67368
2020-04-09T00:00:00.000Z,6.798031043333,91.426998436451,41.039983570576,,1698,0.015101011950999998,49.41150459073,350916,22653150.103195615,127,24.764685589019,544114.6542201168,67368
2020-04-10T00:00:00.000Z,9.327814539928,91.426998436451,41.039983570576,,1698,0.015101011950999998,49.41150459073,350916,22653150.103195615,127,24.764685589019,544114.6542201168,67368
2020-04-11T00:00:00.000Z,6.600414093295,91.426998436451,41.039983570576,,1698,0.015101011950999998,49.41150459073,350916,22653150.103195615,127,24.764685589019,544114.6542201168,67368
2020-04-12T00:00:00.000Z,6.878031637066,91.426998436451,41.039983570576,,1698,0.015101011950999998,49.41150459073,350916,22653150.103195615,127,24.764685589019,544114.6542201168,67368
2020-04-13T00:00:00.000Z,6.239164860142,91.426998436451,41.039983570576,,1698,0.015101011950999998,49.41150459073,350916,22653150.103195615,127,24.764685589019,544114.6542201168,67368
2020-04-14T00:00:00.000Z,5.092044329143,91.426998436451,41.039983570576,,1698,0.015101011950999998,49.41150459073,350916,22653150.103195615,127,24.764685589019,544114.6542201168,67368
2020-04-15T00:00:00.000Z,4.613494756858,91.426998436451,41.039983570576,,1698,0.015101011950999998,49.41150459073,350916,22653150.103195615,127,24.764685589019,544114.6542201168,67368
2020-04-16T00:00:00.000Z,9.004803676714,3128.740879058838,1733.503377795219,0,1522,0.024529606767,45.330385162684,311691,22435915.003573444,3925,24.924651843651,17743662.048552588,570792
2020-04-17T00:00:00.000Z,7.994673222653,3128.740879058838,1733.503377795219,,1522,0.024529606767,45.330385162684,311691,22435915.003573444,3925,24.924651843651,17743662.048552588,570792
2020-04-18T00:00:00.000Z,11.330141648216,3128.740879058838,1733.503377795219,,1522,0.024529606767,45.330385162684,311691,22435915.003573444,3925,24.924651843651,17743662.048552588,570792
2020-04-19T00:00:00.000Z,10.348388345195,3128.740879058838,1733.503377795219,,1522,0.024529606767,45.330385162684,311691,22435915.003573444,3925,24.924651843651,17743662.048552588,570792
