coin,run,model,RMSE,MAE,MAPE,R2,epochs,final_lr
BTC,1,LSTM-Price,3208.2122345025823,2420.909743546196,2.6835791455377613,0.9622781185177871,80,3.906250185536919e-06
BTC,1,LSTM-Sentiment,3416.4802091516212,2570.930929008152,2.8616115502132646,0.9572215560223026,46,3.125000148429535e-05
BTC,1,LSTM-OnChain,3289.8090455173974,2502.6667629076082,2.7984977089617424,0.96033490071749,57,3.125000148429535e-05
BTC,1,LSTM-Full,4320.797230959441,3237.0117102581526,3.629273242306061,0.9315781304211905,31,0.0001250000059371814
BTC,1,GRU-Price,2623.983566009199,1972.7354008152172,2.2346777273839624,0.9747658089765251,82,3.906250185536919e-06
BTC,1,GRU-Sentiment,2720.838422163817,2102.9091593070652,2.363435855222276,0.9728685709932882,44,0.0001250000059371814
BTC,1,GRU-OnChain,2923.246658398994,2201.119380095109,2.5097889418442287,0.9686817065780321,65,1.5625000742147677e-05
BTC,1,GRU-Full,2775.7679820299136,2129.9380078124996,2.369889154536805,0.9717620289400369,58,3.125000148429535e-05
BTC,2,LSTM-Price,3212.2321261134266,2465.700599524457,2.734223721821809,0.9621835282195192,97,1.9531250927684596e-06
BTC,2,LSTM-Sentiment,3116.6048284617245,2361.9517340353264,2.610883489779878,0.9644015865111918,55,3.125000148429535e-05
BTC,2,LSTM-OnChain,3561.353160327729,2662.780212296196,2.9558461158809766,0.9535166681700984,48,3.125000148429535e-05
BTC,2,LSTM-Full,3245.2750067001707,2445.766781589674,2.7101148969446145,0.9614015224443933,52,6.25000029685907e-05
BTC,2,GRU-Price,2539.849059606317,1882.5012015964674,2.13070028214204,0.9763580670996697,66,1.5625000742147677e-05
BTC,2,GRU-Sentiment,2463.1415179579826,1891.5083101222826,2.1285045962463687,0.9777645514829301,72,1.5625000742147677e-05
BTC,2,GRU-OnChain,2596.466873672885,1968.26367017663,2.2074554050202617,0.9752922762385312,72,1.5625000742147677e-05
BTC,2,GRU-Full,2673.8532052764544,2079.795132472826,2.3191082350186956,0.9737975267391731,57,3.125000148429535e-05
BTC,3,LSTM-Price,3176.44493604609,2426.168316915761,2.6978846464317607,0.963021454285468,127,4.882812731921149e-07
BTC,3,LSTM-Sentiment,3154.606154045696,2412.624825067935,2.6922377226760665,0.9635281781943317,64,3.125000148429535e-05
BTC,3,LSTM-OnChain,3380.570078470905,2543.1135614809787,2.8506360656217944,0.9581161060500302,63,1.5625000742147677e-05
BTC,3,LSTM-Full,3337.5783191989062,2534.0973004415764,2.8269439791356152,0.9591746331350262,64,1.5625000742147677e-05
BTC,3,GRU-Price,2706.673536656723,2007.9519191576087,2.2616172787362534,0.9731503320857261,133,1.2207031829802872e-07
BTC,3,GRU-Sentiment,2778.3400879578467,2118.2432252038047,2.3955547848769014,0.9717096724720389,59,3.125000148429535e-05
BTC,3,GRU-OnChain,2958.3591429595854,2255.5136497961967,2.5404338895844107,0.9679248307425558,55,6.25000029685907e-05
BTC,3,GRU-Full,2693.045389459972,2076.9501392663046,2.3342878326486156,0.9734200284764866,62,1.5625000742147677e-05
BTC,4,LSTM-Price,3077.0893887240572,2358.6614232336956,2.6220843596551373,0.9652985685453597,102,1.9531250927684596e-06
BTC,4,LSTM-Sentiment,3781.425044222676,2884.356455502718,3.2422644140880434,0.9475943445379529,40,0.0001250000059371814
BTC,4,LSTM-OnChain,3417.257385941654,2574.793643002718,2.907800828968802,0.9572020914311651,50,6.25000029685907e-05
