Date,Positive sentiment (Total),Negative sentiment (Total),Weighted sentiment (Total),Social Dominance,Active Addresses 24h,MVRV Ratio (1d),NVT Ratio (with Transaction Volume),Supply on Exchanges,Whale Transaction Count (>100k USD),Percent of Stablecoin Total Supply held by Whales with more than 5 million USD,Development Activity,Transaction Volume,Network Growth
2020-04-02T00:00:00.000Z,,,,,776638,0.006246753239000036,35.391773702804,3196550.9874597695,1602,24.764685589019,380,148707.68885697026,389971
2020-04-08T00:00:00.000Z,337.894710242748,220.481660485268,0,25.702354200413,776638,0.006246753239000036,35.391773702804,3196550.9874597695,1602,24.764685589019,380,148707.68885697026,389971
2020-04-09T00:00:00.000Z,983.328254759312,796.889103353024,0,30.638838016723,776638,-0.017807651393,36.931300392556,3173164.08217493,37114,24.870927484698,523,3780008.409283175,2684011
2020-04-10T00:00:00.000Z,1295.116791605949,1076.256213963032,0,32.440108581704,776638,-0.017807651393,36.931300392556,3173164.08217493,37114,24.870927484698,523,3780008.409283175,2684011
2020-04-11T00:00:00.000Z,862.065740644932,644.934114933014,0,30.551647789379,776638,-0.017807651393,36.931300392556,3173164.08217493,37114,24.870927484698,523,3780008.409283175,2684011
2020-04-12T00:00:00.000Z,1024.859267294407,723.216611266136,0,31.75213884868,776638,-0.017807651393,36.931300392556,3173164.08217493,37114,24.870927484698,523,3780008.409283175,2684011
2020-04-13T00:00:00.000Z,1325.502188205719,992.559432923794,0,31.748144306073,776638,-0.017807651393,36.931300392556,3173164.08217493,37114,24.870927484698,523,3780008.409283175,2684011
2020-04-14T00:00:00.000Z,1090.989301204681,742.673607170582,0,19.191066273028,776638,-0.017807651393,36.931300392556,3173164.08217493,37114,24.870927484698,523,3780008.409283175,2684011
2020-04-15T00:00:00.000Z,1062.520223259926,911.87649834156,0,19.306385397329,776638,-0.017807651393,36.931300392556,3173164.08217493,37114,24.870927484698,523,3780008.409283175,2684011
2020-04-16T00:00:00.000Z,1538.673729479313,1236.466332256794,0,31.337741300811,748475,0.00916014762899997,36.988562563639,3165232.2346519963,38177,24.924651843651,394,3704133.595864277,2932267
2020-04-17T00:00:00.000Z,1120.677622973919,732.77972048521,0,29.596860434218,748475,0.00916014762899997,36.988562563639,3165232.2346519963,38177,24.924651843651,394,3704133.595864277,2932267
2020-04-18T00:00:00.000Z,1156.871607542038,737.126067757607,0,28.617486231703,748475,0.00916014762899997,36.988562563639,3165232.2346519963,38177,24.924651843651,394,3704133.595864277,2932267
2020-04-19T00:00:00.000Z,1213.629898667336,770.472760558128,0,26.920564160214,748475,0.00916014762899997,36.988562563639,3165232.2346519963,38177,24.924651843651,394,3704133.595864277,2932267
2020-04-20T00:00:00.000Z,1368.636660635471,1146.617552280426,0,32.107176654628,748475,0.00916014762899997,36.988562563639,3165232.2346519963,38177,24.924651843651,394,3704133.595864277,2932267
